Diagnosis,Attribute,Lesion Class,Brier Score (Normal),Brier Score (Inverted),Brier Score Difference
SCC,grew,BCC,0.1267170342825242,0.11971163514520411,-0.007005399137320095
SCC,grew,MEL,0.005646345823404232,0.008928139786100102,0.00328179396269587
SCC,grew,NEV,0.00047038391988692114,0.0003992575145590962,-7.112640532782493e-05
SCC,grew,SCC,0.3038435633251026,0.3258261092459103,0.021982545920807728
SCC,grew,SEK,0.0031013508798959574,0.003139919699629489,3.85688197335316e-05
SCC,hurt,ACK,0.04330532693944172,0.029307261385631906,-0.013998065553809811
SCC,hurt,BCC,0.1267170342825242,0.1656265121986163,0.03890947791609209
SCC,hurt,MEL,0.005646345823404232,0.005277094656337421,-0.00036925116706681103
SCC,hurt,NEV,0.00047038391988692114,0.0003213232672207378,-0.00014906065266618332
SCC,hurt,SCC,0.3038435633251026,0.3084814843448913,0.0046379210197887155
SCC,hurt,SEK,0.0031013508798959574,0.0014678711693304404,-0.001633479710565517
SCC,itch,ACK,0.04330532693944172,0.028471850292728446,-0.014833476646713271
SCC,itch,BCC,0.1267170342825242,0.17626822480642126,0.04955119052389706
SCC,itch,MEL,0.005646345823404232,0.006696107108284978,0.0010497612848807463
SCC,itch,NEV,0.00047038391988692114,0.0021017177784528602,0.001631333858565939
SCC,itch,SCC,0.3038435633251026,0.372443185532882,0.06859962220777943
SCC,itch,SEK,0.0031013508798959574,0.005777676720392898,0.0026763258404969405
SCC,skin_cancer_history,ACK,0.04330532693944172,0.04312470541336788,-0.00018062152607383614
SCC,skin_cancer_history,BCC,0.1267170342825242,0.12543675246985816,-0.0012802818126660398
SCC,skin_cancer_history,MEL,0.005646345823404232,0.0072615711939841105,0.001615225370579879
SCC,skin_cancer_history,NEV,0.00047038391988692114,0.0006084123441623069,0.0001380284242753857
SCC,skin_cancer_history,SCC,0.3038435633251026,0.30616996567041094,0.0023264023453083427
SCC,skin_cancer_history,SEK,0.0031013508798959574,0.003149134761172786,4.778388127682845e-05
SCC,smoke,ACK,0.04330532693944172,0.04330532693944172,0.0
SCC,smoke,BCC,0.1267170342825242,0.1267170342825242,0.0
SCC,smoke,MEL,0.005646345823404232,0.005646345823404232,0.0
SCC,smoke,NEV,0.00047038391988692114,0.00047038391988692114,0.0
SCC,smoke,SCC,0.3038435633251026,0.3038435633251026,0.0
SCC,smoke,SEK,0.0031013508798959574,0.0031013508798959574,0.0
